language,word,romanized,meaning,category,difficulty,example,example_romanized,example_translation
italian,studente,stoo-DEHN-teh,student,classroom,beginner,Sono uno studente,SOH-noh OO-noh stoo-DEHN-teh,I am a student
italian,aeroporto,ah-eh-roh-POR-toh,airport,travel,beginner,Vado all'aeroporto,VAH-doh ahl ah-eh-roh-POR-toh,I go to the airport
italian,hotel,oh-TEL,hotel,travel,beginner,Sono in hotel,SOH-noh een oh-TEL,I am at the hotel
italian,treno,TREH-noh,train,travel,beginner,Prendo il treno,PREHN-doh eel TREH-noh,I take the train
italian,autobus,OW-toh-boos,bus,travel,beginner,Aspetto l'autobus,ah-SPEHT-toh low-toh-boos,I wait for the bus
italian,passaporto,pahs-sah-POR-toh,passport,travel,beginner,Ho bisogno del passaporto,oh bee-ZOH-nyoh del pahs-sah-POR-toh,I need a passport
italian,mamma,MAHM-mah,mom,family,beginner,Amo mia mamma,AH-moh MEE-ah MAHM-mah,I love my mom
italian,papà,pah-PAH,dad,family,beginner,Papà è a casa,pah-PAH eh ah KAH-zah,Dad is at home
italian,sorella,soh-REHL-lah,sister,family,beginner,Ho una sorella,oh OO-nah soh-REHL-lah,I have a sister
italian,fratello,frah-TEHL-loh,brother,family,beginner,Mio fratello è gentile,MEE-oh frah-TEHL-loh eh jen-TEE-leh,My brother is kind
italian,famiglia,fah-MEE-lyah,family,family,beginner,Questa è la mia famiglia,KWEH-stah eh lah MEE-ah fah-MEE-lyah,This is my family
italian,lunedì,loo-neh-DEE,Monday,days,beginner,Lunedì vado a scuola,loo-neh-DEE VAH-doh ah SKWOH-lah,I go to school on Monday
italian,martedì,mar-teh-DEE,Tuesday,days,beginner,Ci vediamo martedì,chee veh-DYAH-moh mar-teh-DEE,See you on Tuesday
italian,mercoledì,mehr-koh-leh-DEE,Wednesday,days,beginner,Mercoledì studio,mehr-koh-leh-DEE STOO-dyoh,I study on Wednesday
italian,giovedì,joh-veh-DEE,Thursday,days,beginner,Giovedì lavoro,joh-veh-DEE lah-VOH-roh,I work on Thursday
italian,venerdì,veh-nehr-DEE,Friday,days,beginner,Venerdì mi riposo,veh-nehr-DEE mee ree-POH-zoh,I rest on Friday

